100218;Something falling like a feather or paper
48032;Pretending to put something into something
10433;Letting something roll down a slanted surface
9426;Lifting something with something on it
62548;Showing something next to something
64558;Pushing something so that it slightly moves
52373;Showing something next to something
27171;Approaching something with your camera
72594;Moving something and something so they pass each other
60276;Throwing something in the air and catching it
81659;Holding something behind something
97896;Plugging something into something but pulling it right out as you remove your hand
92498;Throwing something
20327;Pretending to put something into something
103361;Pushing something from left to right
70146;Attaching something to something
20557;Putting something next to something
13653;Pretending to close something without actually closing it
11935;Opening something
57127;Stacking number of something
51586;Pushing something so that it almost falls off but doesn't
84145;Moving away from something with your camera
48976;Showing that something is empty
37071;Dropping something next to something
50755;Picking something up
74927;Letting something roll up a slanted surface, so it rolls back down
90187;Lifting up one end of something without letting it drop down
90191;Pulling something from behind of something
35643;Moving something up
59019;Putting something on a flat surface without letting it roll
99636;Lifting something up completely without letting it drop down
44150;Touching (without moving) part of something
33019;Holding something
10515;Lifting something up completely without letting it drop down
39472;Throwing something in the air and catching it
96856;Pretending to scoop something up with something
71652;Putting something similar to other things that are already on the table
56412;Plugging something into something
20661;Pushing something so that it slightly moves
32549;Digging something out of something
45313;Putting something and something on the table
53907;Turning something upside down
94488;Something colliding with something and both are being deflected
77098;Pretending to turn something upside down
64189;Tipping something over
87314;Pretending to turn something upside down
14422;Bending something so that it deforms
52159;Pulling something from right to left
71741;Holding something next to something
98570;Taking something from somewhere
58699;Pushing something so that it falls off the table
60584;Pretending to squeeze something
71647;Pulling something from right to left
87351;Removing something, revealing something behind
98732;Throwing something onto a surface
35596;Pretending to put something underneath something
18624;Something falling like a rock
82473;Failing to put something into something because something does not fit
39122;Moving something away from something
102075;Dropping something behind something
29435;Turning the camera left while filming something
83188;Lifting up one end of something without letting it drop down
82080;Putting number of something onto something
94955;Throwing something onto a surface
34102;Scooping something up with something
14728;Pouring something onto something
14011;Dropping something onto something
22629;Moving away from something with your camera
74248;Dropping something in front of something
20919;Moving something up
8207;Putting something next to something
47819;Showing a photo of something to the camera
53554;Letting something roll down a slanted surface
17590;Rolling something on a flat surface
102544;Uncovering something
58938;Taking something from somewhere
51948;Holding something behind something
92676;Spilling something next to something
70577;Spreading something onto something
70586;Picking something up
95482;Trying to pour something into something, but missing so it spills next to it
52146;Pushing something from right to left
38942;Showing something behind something
48001;Moving something up
26236;Moving something up
74657;Tilting something with something on it until it falls off
15275;Pulling something from left to right
94912;Pushing something so that it falls off the table
101260;Pushing something so that it slightly moves
83112;Squeezing something
94188;Pretending to throw something
8122;Showing that something is inside something
8366;Putting something on the edge of something so it is not supported and falls down
74455;Putting something that can't roll onto a slanted surface, so it slides down
50639;Burying something in something
76945;Lifting something up completely, then letting it drop down
34681;Pretending to pick something up
62481;Trying to bend something unbendable so nothing happens
96894;Showing something behind something
10422;Letting something roll up a slanted surface, so it rolls back down
28487;Failing to put something into something because something does not fit
59129;Pretending to put something onto something
84943;Something colliding with something and both are being deflected
36009;Taking something from somewhere
73790;Putting something that can't roll onto a slanted surface, so it stays where it is
45533;Showing something behind something
39239;Throwing something in the air and catching it
34097;Putting something into something
24741;Poking something so it slightly moves
22239;Lifting something with something on it
23188;Something falling like a rock
93794;Something falling like a rock
44637;Pretending to squeeze something
103893;Lifting something up completely without letting it drop down
46155;Pretending to throw something
74978;Throwing something against something
65056;Holding something
87831;Pulling something onto something
59306;Putting something on the edge of something so it is not supported and falls down
30036;Putting something on a surface
83502;Throwing something onto a surface
94818;Showing something on top of something
43822;Showing a photo of something to the camera
65212;Twisting something
92301;Scooping something up with something
60384;Putting something underneath something
65518;Unfolding something
57933;Lifting up one end of something, then letting it drop down
70454;Showing something behind something
77765;Throwing something onto a surface
47030;Attaching something to something
53747;Putting something onto something
31915;Pretending to open something without actually opening it
24204;Moving something up
32493;Pretending to throw something
62410;Moving something down
89385;Putting something that can't roll onto a slanted surface, so it stays where it is
25850;Tearing something into two pieces
15890;Moving something across a surface until it falls down
32502;Stuffing something into something
59957;Putting something next to something
43090;Throwing something
36375;Moving something and something so they collide with each other
99205;Moving something and something away from each other
96612;Holding something over something
41393;Something colliding with something and both are being deflected
40293;Moving something towards the camera
65875;Pushing something onto something
32755;Lifting something with something on it
55522;Taking something from somewhere
99476;Holding something over something
42836;Taking something out of something
18174;Putting something into something
83846;Showing a photo of something to the camera
12515;Closing something
47760;Holding something
101203;Dropping something onto something
68025;Tearing something just a little bit
51524;Pretending to throw something
97556;Moving something and something so they pass each other
10201;Taking one of many similar things on the table
23156;Dropping something into something
90672;Moving something and something so they pass each other
37056;Showing a photo of something to the camera
87082;Pretending to close something without actually closing it
50564;Showing that something is inside something
35089;Pulling something from left to right
61005;Pouring something into something
49469;Putting something on the edge of something so it is not supported and falls down
40239;Opening something
75793;Showing something on top of something
64593;Dropping something in front of something
76841;Pushing something so that it falls off the table
27708;Moving something across a surface without it falling down
76440;Putting something onto something
18124;Tipping something with something in it over, so something in it falls out
85388;Tipping something over
58764;Lifting up one end of something without letting it drop down
55775;Moving away from something with your camera
52574;Pulling something from right to left
80236;Taking one of many similar things on the table
55085;Pretending to put something underneath something
66062;Lifting something with something on it
45244;Putting something underneath something
73084;Approaching something with your camera
102326;Spilling something next to something
37173;Putting something behind something
102308;Something falling like a feather or paper
25648;Dropping something behind something
25976;Pretending to put something on a surface
20707;Lifting something with something on it
64651;Lifting a surface with something on it until it starts sliding down
24735;Lifting something up completely, then letting it drop down
54117;Pretending to open something without actually opening it
81924;Burying something in something
27684;Pulling something from right to left
54685;Throwing something onto a surface
63752;Taking one of many similar things on the table
33511;Putting something on the edge of something so it is not supported and falls down
33023;Showing something to the camera
11007;Putting something, something and something on the table
61589;Lifting up one end of something, then letting it drop down
103367;Turning the camera upwards while filming something
72056;Turning the camera downwards while filming something
91973;Throwing something against something
25216;Tilting something with something on it slightly so it doesn't fall down
41258;Moving something towards the camera
46062;Folding something
50294;Pretending to throw something
18862;Lifting something with something on it
33318;Turning the camera downwards while filming something
31809;Laying something on the table on its side, not upright
67920;Poking something so that it falls over
54836;Moving something away from the camera
46925;Putting something into something
15551;Pretending to put something next to something
99954;Digging something out of something
23088;Moving something away from the camera
35543;Moving away from something with your camera
89859;Something falling like a rock
37633;Putting something on the edge of something so it is not supported and falls down
86386;Laying something on the table on its side, not upright
51739;Showing that something is empty
68773;Lifting something up completely without letting it drop down
77890;Throwing something in the air and catching it
12729;Showing something on top of something
30050;Holding something behind something
29176;Pushing something with something
84373;Pushing something so that it falls off the table
61510;Moving something across a surface without it falling down
27276;Moving something towards the camera
42188;Something falling like a rock
51519;Showing a photo of something to the camera
67337;Pretending to put something underneath something
17274;Holding something behind something
103228;Tearing something just a little bit
67292;Moving part of something
25176;Lifting something up completely, then letting it drop down
49416;Pretending to poke something
89599;Stacking number of something
40814;Dropping something onto something
38431;Holding something behind something
90916;Lifting a surface with something on it until it starts sliding down
15393;Holding something in front of something
93760;Putting something underneath something
89056;Uncovering something
80027;Scooping something up with something
11778;Stacking number of something
17591;Putting something on the edge of something so it is not supported and falls down
97513;Moving something away from something
80648;Pretending to throw something
71341;Touching (without moving) part of something
100000;Lifting up one end of something, then letting it drop down
82504;Lifting up one end of something without letting it drop down
22210;Unfolding something
76728;Pulling something from left to right
41922;Pulling something from behind of something
24765;Approaching something with your camera
12079;Taking something out of something
32597;Tipping something with something in it over, so something in it falls out
95040;Lifting something up completely without letting it drop down
80199;Pretending to pick something up
66199;Putting something in front of something
9244;Putting something onto something
102382;Plugging something into something but pulling it right out as you remove your hand
60944;Closing something
101341;Bending something so that it deforms
60275;Turning something upside down
49798;Dropping something in front of something
94106;Taking one of many similar things on the table
96723;Approaching something with your camera
7077;Pulling something onto something
30748;Moving something and something closer to each other
39258;Holding something
74413;Showing something on top of something
93148;Squeezing something
16549;Stacking number of something
7543;Putting something underneath something
53073;Putting something behind something
11470;Something falling like a rock
96367;Squeezing something
91185;Turning the camera right while filming something
39953;Turning the camera upwards while filming something
22603;Tilting something with something on it until it falls off
100102;Showing that something is empty
51643;Turning the camera left while filming something
17061;Pretending to close something without actually closing it
101400;Moving something and something so they pass each other
